id,state,county,rate
1,Alabama,Autauga County,25
2,Alabama,Baldwin County,75
3,Alabama,Barbour County,75
4,Alabama,Bibb County,100
5,Alabama,Blount County,25
6,Alabama,Bullock County,100
7,Alabama,Butler County,75
8,Alabama,Calhoun County,25
9,Alabama,Chambers County,50
10,Alabama,Cherokee County,25
11,Alabama,Chilton County,100
12,Alabama,Choctaw County,75
13,Alabama,Clarke County,100
14,Alabama,Clay County,25
15,Alabama,Cleburne County,100
16,Alabama,Coffee County,25
17,Alabama,Colbert County,100
18,Alabama,Conecuh County,100
19,Alabama,Coosa County,75
20,Alabama,Covington County,100
21,Alabama,Crenshaw County,75
22,Alabama,Cullman County,50
23,Alabama,Dale County,75
24,Alabama,Dallas County,100
25,Alabama,DeKalb County,25
26,Alabama,Elmore County,100
27,Alabama,Escambia County,100
28,Alabama,Etowah County,75
29,Alabama,Fayette County,25
30,Alabama,Franklin County,25
31,Alabama,Geneva County,75
32,Alabama,Greene County,50
33,Alabama,Hale County,100
34,Alabama,Henry County,75
35,Alabama,Houston County,75
36,Alabama,Jackson County,75
37,Alabama,Jefferson County,25
38,Alabama,Lamar County,75
39,Alabama,Lauderdale County,100
40,Alabama,Lawrence County,25
41,Alabama,Lee County,75
42,Alabama,Limestone County,50
43,Alabama,Lowndes County,75
44,Alabama,Macon County,100
45,Alabama,Madison County,50
46,Alabama,Marengo County,50
47,Alabama,Marion County,75
