id,state,county,rate
1,Alabama,Autauga County,466738971
2,Alabama,Baldwin County,1797919255
3,Alabama,Barbour County,626606613
4,Alabama,Bibb County,941552580
5,Alabama,Blount County,567606661
6,Alabama,Bullock County,1118054704
7,Alabama,Butler County,1264951592
8,Alabama,Calhoun County,1999628973
9,Alabama,Chambers County,789970484
10,Alabama,Cherokee County,756830376
11,Alabama,Chilton County,1241406576
12,Alabama,Choctaw County,1715678230
13,Alabama,Clarke County,1534344976
14,Alabama,Clay County,642913648
15,Alabama,Cleburne County,1897216476
16,Alabama,Coffee County,1508119645
17,Alabama,Colbert County,1286374422
18,Alabama,Conecuh County,577648979
19,Alabama,Coosa County,1905774888
20,Alabama,Covington County,1769124304
21,Alabama,Crenshaw County,524540867
22,Alabama,Cullman County,482426768
23,Alabama,Dale County,1932864906
24,Alabama,Dallas County,1325139199
25,Alabama,DeKalb County,1672735603
26,Alabama,Elmore County,1535657397
27,Alabama,Escambia County,444518662
28,Alabama,Etowah County,953282865
29,Alabama,Fayette County,1514383111
30,Alabama,Franklin County,1020814780
31,Alabama,Geneva County,733475942
32,Alabama,Greene County,1640561069
33,Alabama,Hale County,1647178636
34,Alabama,Henry County,760903006
35,Alabama,Houston County,1923205750
36,Alabama,Jackson County,936645277
37,Alabama,Jefferson County,1549084195
38,Alabama,Lamar County,1090113694
39,Alabama,Lauderdale County,1214858510
40,Alabama,Lawrence County,460769996
41,Alabama,Lee County,757119720
42,Alabama,Limestone County,971993988
43,Alabama,Lowndes County,1859449809
44,Alabama,Macon County,637048460
45,Alabama,Madison County,641011799
46,Alabama,Marengo County,1042421115
47,Alabama,Marion County,675113821
